Teff logg R Av
3.276990778619737284e+03 4.707291972801530555e+00 5.267905716184857479e-01 1.781157752507604553e+00
3.187795342820088536e+03 4.691821517790076612e+00 5.439137784933560926e-01 1.832199668879379351e+00
3.249908967603668316e+03 4.856825557651587744e+00 5.361503887890277653e-01 1.842898422390579549e+00
3.356672042820994648e+03 4.847957775659394564e+00 5.104633530929140184e-01 1.841581184210376421e+00
3.292668399802912518e+03 4.458265579330459971e+00 5.181350444968213509e-01 1.722056438364927500e+00
3.289027322459506649e+03 4.209994507102832628e+00 5.116625090698182499e-01 1.648081968903337469e+00
3.311152380160081975e+03 4.991572487190436114e+00 5.236417911315289775e-01 1.873248300280927481e+00
3.184586422667279294e+03 4.832582645424372103e+00 5.490119014300419709e-01 1.810089423150364807e+00
3.322248025716812208e+03 4.566700958442272196e+00 5.161847721408979739e-01 1.849897704116529651e+00
3.265660751756594436e+03 4.615893960276387986e+00 5.270785721059798590e-01 1.726115340218354444e+00
3.204789375296145408e+03 4.992236173504349672e+00 5.490898129938047711e-01 1.909697997284379722e+00
3.281462337419379764e+03 4.490507459841547089e+00 5.285648754628717860e-01 1.868527299763749649e+00
3.337796913838573801e+03 4.654254169961015819e+00 5.160580195684282279e-01 1.835233002702838290e+00
3.204703713889941355e+03 4.679979281876372355e+00 5.383310686188724770e-01 1.785749488080158542e+00
3.228926836489365087e+03 4.615711909429797366e+00 5.390090798167371799e-01 1.859236231888377500e+00
3.204608878439122691e+03 4.599354097013367948e+00 5.493391093551209803e-01 1.929457347454546001e+00
3.220993052719695697e+03 4.448594282021243629e+00 5.420908309130442193e-01 1.930103389018860582e+00
3.252346949174280780e+03 4.588510717998769195e+00 5.308978295382724699e-01 1.706346625045153109e+00
3.325760538744711539e+03 4.459143262258315588e+00 5.089731077839420026e-01 1.701095020748765840e+00
3.218333510099664181e+03 4.491506085705454510e+00 5.364302118773884853e-01 1.835253984665793148e+00
3.188531985125113806e+03 4.919930014181520761e+00 5.448640415905259271e-01 1.803859791961955228e+00
3.270162860589002776e+03 4.601458562451054668e+00 5.271177738632339960e-01 1.825564511109467603e+00
3.159603401724775722e+03 4.707632931711452251e+00 5.538502000125341551e-01 1.871385192355943250e+00
3.259485048753266710e+03 4.589411910924300564e+00 5.397222734935592792e-01 1.958850952191812489e+00
3.266677535047700530e+03 4.636788647284888043e+00 5.334899294136092873e-01 1.833101947169836876e+00
3.270251908876943162e+03 4.307069018882500266e+00 5.160135516827647484e-01 1.591254780544797409e+00
3.264633923588664402e+03 4.463016453146665619e+00 5.240571842009614789e-01 1.767198820745095933e+00
3.260658774312993955e+03 4.585962872969436610e+00 5.264583260660798958e-01 1.762032287858803725e+00
3.333970349073009857e+03 4.855889475338086569e+00 5.163854934180576173e-01 1.833134314227551354e+00
3.249853481153187204e+03 4.512704901114318545e+00 5.305415072891456196e-01 1.763634666274572993e+00
3.219434264499548590e+03 4.557419618869110067e+00 5.333126824318688008e-01 1.724700908823106005e+00
3.219796578027647229e+03 4.668688023064954784e+00 5.452850377142355320e-01 1.908362542409381302e+00
3.289358615009856294e+03 4.388458414832741461e+00 5.197536052795834749e-01 1.802091042613711336e+00
3.325187020931981351e+03 4.442080460175082735e+00 5.085400379056320697e-01 1.720088453231354508e+00
3.269481672786024319e+03 4.376942159789051878e+00 5.189140565289653839e-01 1.752916858543349221e+00
3.230613203784688267e+03 4.963703076073416653e+00 5.368485183752708112e-01 1.771101072136639365e+00
3.365061181873847090e+03 4.790549086961410907e+00 5.137115775050739019e-01 1.871632399244175460e+00
3.266360312431070270e+03 4.669477879585207880e+00 5.305064419878620097e-01 1.782893615717319857e+00
3.306633070546200088e+03 4.677036507525372144e+00 5.220325219069545941e-01 1.864538754098403750e+00
3.296775178436914302e+03 4.869797111304118076e+00 5.267963350011128920e-01 1.882588883720164530e+00
